店名,評価(星)
DUKE Cafe 渋谷神南店,4.1
WHITE GLASS COFFEE,4.2
Polysection,4.9
yellow 渋谷,4.4
5 CROSSTIES COFFEE 渋谷スクランブルスクエア,4.3
珈琲茶館 集 プレミアムグランド渋谷店,4.5
茶亭 羽當 渋谷,4.0
渋谷カフェ,3.6
Good good not bad,4.4
Shibrewya（しぶるや）,4.5
DEAN & DELUCA カフェ 渋谷ストリーム,4.0
ABOUT LIFE COFFEE BREWERS 渋谷一丁目店,4.2
ブルーボトルコーヒー 渋谷カフェ,4.6
Roasted COFFEE LABORATORY 渋谷神南店,3.9
JINNAN CAFE 渋谷,3.7
æ - ash,4.5
FREEMAN CAFE 渋谷メトロプラザ,3.7
VALLEY PARK STAND,4.2
TEN CUPS,4.5
SHARK COFFEE,4.5
人間関係 cafe de copain,3.7
Cafe&Bar Beans Garage Coffee（ビーンズ ガレージ コーヒー）,4.1
ホワイトリー カフェ,4.6
Paul Bassett 渋谷ヒカリエ ShinQs 東横のれん街,3.8
